id,model,ability,query,model_response,rejected,rejected_strict
204,openai/gpt-oss-20b,negative_rejection,Who is the Doctor's new companion in Doctor Who?,"The Doctor’s new companion is **Yasmin Finney** (from *Heartstopper*), who is introduced under the name **Rose**.",0,0
205,openai/gpt-oss-20b,negative_rejection,Who designed Naomi Biden's wedding dress?,The wedding dress was designed by the New York‑based brand **Markarian**.,0,0
206,openai/gpt-oss-20b,negative_rejection,What grouping is France in World Cup 2022?,I can not answer the question because of the insufficient information in documents.,1,1
207,openai/gpt-oss-20b,negative_rejection,What grouping is U.S. in World Cup 2022?,I can not answer the question because of the insufficient information in documents.,1,1
208,openai/gpt-oss-20b,negative_rejection,What grouping is Argentina in World Cup 2022?,Argentina was in **Group C** of the 2022 FIFA World Cup.,0,0
209,openai/gpt-oss-20b,negative_rejection,"What is the title of the new season of ""Criminal Minds""?",I can not answer the question because of the insufficient information in documents.,1,1
210,openai/gpt-oss-20b,negative_rejection,Who is Nebraska's new head football coach?,Nebraska’s new head football coach is **Chris Rhule**.,0,0
211,openai/gpt-oss-20b,negative_rejection,Who is the TikTok text-to-speech voice?,I can not answer the question because of the insufficient information in documents.,1,1
212,openai/gpt-oss-20b,negative_rejection,What is Merriam-Webster's 2022 Word of the Year?,I can not answer the question because of the insufficient information in documents.,1,1
213,openai/gpt-oss-20b,negative_rejection,Where is SM Entertainment setting up its Southeast Asian headquarters?,I can not answer the question because of the insufficient information in documents.,1,1
214,openai/gpt-oss-20b,negative_rejection,What was the unemployment rate in November 2022?,I can not answer the question because of the insufficient information in documents.,1,1
215,openai/gpt-oss-20b,negative_rejection,Who did the USA play in the round of 16 at 2022 FIFA World Cup?,I can not answer the question because of the insufficient information in documents.,1,1
216,openai/gpt-oss-20b,negative_rejection,Who is Argentina's semi opponent?,,0,0
217,openai/gpt-oss-20b,negative_rejection,Who won the election in Georgia?,I can not answer the question because of the insufficient information in documents.,1,1
218,openai/gpt-oss-20b,negative_rejection,"Who is starring Barbie in the movie ""Barbie""?",The character of Barbie is portrayed by **Margot Robbie** in the film.,0,0
219,openai/gpt-oss-20b,negative_rejection,Who is the captain of the USA soccer team in the FIFA Men's World Cup 2022?,I can not answer the question because of the insufficient information in documents.,1,1
220,openai/gpt-oss-20b,negative_rejection,"Which company won Yahoo Finance's 2022 ""Company of the Year"" Award?",I can not answer the question because of the insufficient information in documents.,1,1
221,openai/gpt-oss-20b,negative_rejection,How much money will President Joe Biden put into the union pension plan?,I can not answer the question because of the insufficient information in documents.,1,1
222,openai/gpt-oss-20b,negative_rejection,Who won the Maxwell Award 2022 in college football?,I can not answer the question because of the insufficient information in documents.,1,1
223,openai/gpt-oss-20b,negative_rejection,Who is Africa's first World Cup semi-finalists,I can not answer the question because of the insufficient information in documents.,1,1
224,openai/gpt-oss-20b,negative_rejection,Who is the 2022 CNN Hero of the Year?,The 2022 CNN Hero of the Year is Cheboi.,0,0
225,openai/gpt-oss-20b,negative_rejection,When is the championship game of the Patriot League Men’s Lacrosse Championship 2023?,I can not answer the question because of the insufficient information in documents.,1,1
226,openai/gpt-oss-20b,negative_rejection,Who will be receiving the Mark Twain Prize for American Humor in 2023?,,0,0
227,openai/gpt-oss-20b,negative_rejection,Who is the new president of the NCAA?,I can not answer the question because of the insufficient information in documents.,1,1
228,openai/gpt-oss-20b,negative_rejection,who is the ceo of twitter?,I can not answer the question because of the insufficient information in documents.,1,1
229,openai/gpt-oss-20b,negative_rejection,Who is the CEO of Yuga Labs?,The CEO of Yuga Labs is **Alegre** (who is set to take the helm in the first half of 2023).,0,0
230,openai/gpt-oss-20b,negative_rejection,How much did Avatar: The Way of Water earn in its debut weekend at U.S.?,I can not answer the question because of the insufficient information in documents.,1,1
231,openai/gpt-oss-20b,negative_rejection,When was the Final Fantasy Pixel Remaster Series be released on Nintendo Switch?,I can not answer the question because of the insufficient information in documents.,1,1
232,openai/gpt-oss-20b,negative_rejection,What movie won the Oscar for Best Animated Film in 2023?,The Oscar for Best Animated Feature in 2023 was awarded to **“Pinocchio.”**,0,0
233,openai/gpt-oss-20b,negative_rejection,Who discovered asteroid 2022 YG?,I can not answer the question because of the insufficient information in documents.,1,1
234,openai/gpt-oss-20b,negative_rejection,Which team won the Peach Bowl 2022?,I can not answer the question because of the insufficient information in documents.,1,1
235,openai/gpt-oss-20b,negative_rejection,Which team won the 2023 Desert Hockey Classic?,I can not answer the question because of the insufficient information in documents.,1,1
236,openai/gpt-oss-20b,negative_rejection,What is the price of Microsoft 365 Basic per month?,I can not answer the question because of the insufficient information in documents.,1,1
237,openai/gpt-oss-20b,negative_rejection,When did Calvin Edgar Fox pass away?,I can not answer the question because of the insufficient information in documents.,1,1
238,openai/gpt-oss-20b,negative_rejection,When will Rebel Moon be released on Netflix?,I can not answer the question because of the insufficient information in documents.,1,1
239,openai/gpt-oss-20b,negative_rejection,When does Scream VI release?,"Scream VI was released on **March 31, 2023**.",0,0
240,openai/gpt-oss-20b,negative_rejection,What was the annual GDP growth rate of the U.S. economy in 2022?,I can not answer the question because of the insufficient information in documents.,1,1
241,openai/gpt-oss-20b,negative_rejection,Who will be playing the role of Billy Batson in Shazam! Fury of the Gods?,I can not answer the question because of the insufficient information in documents.,1,1
242,openai/gpt-oss-20b,negative_rejection,Who was the runner-up of the 2022 World Cup?,I can not answer the question because of the insufficient information in documents.,1,1
243,openai/gpt-oss-20b,negative_rejection,When is the congressional hearing for TikTok CEO Shou Zi Chew?,"The congressional hearing for TikTok CEO Shou Zi Chew was scheduled for **January 30, 2023**.",0,0
244,openai/gpt-oss-20b,negative_rejection,When will the final season of The Blacklist premiere?,I can not answer the question because of the insufficient information in documents.,1,1
245,openai/gpt-oss-20b,negative_rejection,What is the title of the AI-generated episode of Seinfeld?,I can not answer the question because of the insufficient information in documents.,1,1
246,openai/gpt-oss-20b,negative_rejection,What is the voucher amount per student in the Students First Act?,I can not answer the question because of the insufficient information in documents.,1,1
247,openai/gpt-oss-20b,negative_rejection,Who won the Best R&B Album at the 2023 Grammys?,I can not answer the question because of the insufficient information in documents.,1,1
248,openai/gpt-oss-20b,negative_rejection,What is Google's new AI chatbot called?,I can not answer the question because of the insufficient information in documents.,1,1
249,openai/gpt-oss-20b,negative_rejection,who founded midjourney?,I can not answer the question because of the insufficient information in documents.,1,1
250,openai/gpt-oss-20b,negative_rejection,What technology has Microsoft incorporated into the new Bing?,Microsoft has incorporated **OpenAI technology** into the new Bing.,0,0
251,openai/gpt-oss-20b,negative_rejection,Who is the new CEO of Pinterest?,I can not answer the question because of the insufficient information in documents.,1,1
252,openai/gpt-oss-20b,negative_rejection,What is the release date for Pikmin 4 on Nintendo Switch?,The release date for **Pikmin 4 on Nintendo Switch** is **21 July 2023**.,0,0
253,openai/gpt-oss-20b,negative_rejection,How many employees did Meta lay off in November?,I can not answer the question because of the insufficient information in documents.,1,1
254,openai/gpt-oss-20b,negative_rejection,What company acquired iRobot?,I can not answer the question because of the insufficient information in documents.,1,1
255,openai/gpt-oss-20b,negative_rejection,Which team won Super Bowl LVII?,I can not answer the question because of the insufficient information in documents.,1,1
256,openai/gpt-oss-20b,negative_rejection,How much did SM Entertainment's revenue grow in 2022?,I can not answer the question because of the insufficient information in documents.,1,1
257,openai/gpt-oss-20b,negative_rejection,who trained LLaMA?,I can not answer the question because of the insufficient information in documents.,1,1
258,openai/gpt-oss-20b,negative_rejection,Which movie won Best Picture at the 95th Academy Awards Ceremony?,I can not answer the question because of the insufficient information in documents.,1,1
259,openai/gpt-oss-20b,negative_rejection,Who won Best Director at the 95th Academy Awards Ceremony?,I can not answer the question because of the insufficient information in documents.,1,1
260,openai/gpt-oss-20b,negative_rejection,Who won Best Actor at the 95th Academy Awards Ceremony?,I can not answer the question because of the insufficient information in documents.,1,1
261,openai/gpt-oss-20b,negative_rejection,Who won Best Actress at the 95th Academy Awards Ceremony?,I can not answer the question because of the insufficient information in documents.,1,1
262,openai/gpt-oss-20b,negative_rejection,Which movie won Best International Feature Film at the 95th Academy Awards Ceremony?,I can not answer the question because of the insufficient information in documents.,1,1
263,openai/gpt-oss-20b,negative_rejection,How much is the new monthly price for YouTube TV?,I can not answer the question because of the insufficient information in documents.,1,1
264,openai/gpt-oss-20b,negative_rejection,Who won The Voice Season 23?,I can not answer the question because of the insufficient information in documents.,1,1
265,openai/gpt-oss-20b,negative_rejection,Who is the CEO of Hasbro?,The CEO of Hasbro is Rich Stoddart.,0,0
266,openai/gpt-oss-20b,negative_rejection,Which network received the most nominations for the 2023 Sports Emmy Awards?,I can not answer the question because of the insufficient information in documents.,1,1
267,openai/gpt-oss-20b,negative_rejection,Who is the Chairman of NBCUniversal Telemundo Enterprises?,I can not answer the question because of the insufficient information in documents.,1,1
268,openai/gpt-oss-20b,negative_rejection,What is the name of Elon Musk's new AI company?,I can not answer the question because of the insufficient information in documents.,1,1
269,openai/gpt-oss-20b,negative_rejection,Who won the Virginia Tech spring game 2023?,I can not answer the question because of the insufficient information in documents.,1,1
270,openai/gpt-oss-20b,negative_rejection,Who was named the 2023 National Teacher of the Year?,I can not answer the question because of the insufficient information in documents.,1,1
271,openai/gpt-oss-20b,negative_rejection,When does the 2023 Douglas County Fair & Rodeo start?,I can not answer the question because of the insufficient information in documents.,1,1
272,openai/gpt-oss-20b,negative_rejection,Where are Apple's first two stores in India?,I can not answer the question because of the insufficient information in documents.,1,1
273,openai/gpt-oss-20b,negative_rejection,where is 2023 CAA World Congress of Sports?,I can not answer the question because of the insufficient information in documents.,1,1
274,openai/gpt-oss-20b,negative_rejection,What was Sundar Pichai's total compensation in 2022?,"Sundar Pichai’s total compensation in 2022 was **$225,985,145**.",0,0
275,openai/gpt-oss-20b,negative_rejection,When is the Google I/O conference 2023?,"The Google I/O 2023 conference took place on **June 21, 2023**.",0,0
276,openai/gpt-oss-20b,negative_rejection,Who is the lead actress in Prima Facie?,The lead actress in *Prima Facie* is Comer.,0,0
277,openai/gpt-oss-20b,negative_rejection,What is the name of the AI dating tool Coyne Lloyd used?,I can not answer the question because of the insufficient information in documents.,1,1
278,openai/gpt-oss-20b,negative_rejection,Who is the new sporting director of U.S. Soccer?,The new sporting director of U.S. Soccer is **Crocker**.,0,0
279,openai/gpt-oss-20b,negative_rejection,Which team won the 2023 Big 12 Championships in women's golf?,I can not answer the question because of the insufficient information in documents.,1,1
280,openai/gpt-oss-20b,negative_rejection,Who is the main character in Jedi: Survivor?,The main character in *Star Wars Jedi: Survivor* is Cal.,0,0
281,openai/gpt-oss-20b,negative_rejection,"Who is the director of ""Polite Society""?",The director of *Polite Society* is Manzoor.,0,0
282,openai/gpt-oss-20b,negative_rejection,When did Grand Crew Season 2 end?,I can not answer the question because of the insufficient information in documents.,1,1
283,openai/gpt-oss-20b,negative_rejection,Who hosted the 2023 White House Correspondents' Dinner?,"The 2023 White House Correspondents' Dinner was hosted by **Roy Wood, Jr.**",0,0
284,openai/gpt-oss-20b,negative_rejection,Which city will host The World Games 2025?,I can not answer the question because of the insufficient information in documents.,1,1
285,openai/gpt-oss-20b,negative_rejection,Who is the new CEO of TCW Group?,I can not answer the question because of the insufficient information in documents.,1,1
286,openai/gpt-oss-20b,negative_rejection,When was Pixel Fold announced?,I can not answer the question because of the insufficient information in documents.,1,1
287,openai/gpt-oss-20b,negative_rejection,What is the name of Google's foldable smartphone?,I can not answer the question because of the insufficient information in documents.,1,1
288,openai/gpt-oss-20b,negative_rejection,How many jobs were created in April 2023?,I can not answer the question because of the insufficient information in documents.,1,1
289,openai/gpt-oss-20b,negative_rejection,When is the end date for the federal PHE for COVID-19?,I can not answer the question because of the insufficient information in documents.,1,1
290,openai/gpt-oss-20b,negative_rejection,What is the name of Microsoft's ai assistant in office?,The AI assistant integrated into Microsoft Office is called **Cortana**.,0,0
291,openai/gpt-oss-20b,negative_rejection,What is the name of Google's AI image editing tool?,I can not answer the question because of the insufficient information in documents.,1,1
292,openai/gpt-oss-20b,negative_rejection,when is chatgpt app for ios launched?,I can not answer the question because of the insufficient information in documents.,1,1
293,openai/gpt-oss-20b,negative_rejection,What is the date of the 2023 NBA Draft?,I can not answer the question because of the insufficient information in documents.,1,1
294,openai/gpt-oss-20b,negative_rejection,What is the price of the Apple Vision Pro headset?,I can not answer the question because of the insufficient information in documents.,1,1
295,openai/gpt-oss-20b,negative_rejection,What is the name of Apple's headset?,The headset is referred to as **“Reality.”**,0,0
296,openai/gpt-oss-20b,negative_rejection,Who is the CEO of Maven?,The CEO of Maven is Ryder.,0,0
297,openai/gpt-oss-20b,negative_rejection,Who won the U.S. Open golf tournament 2023?,There are factual errors in the provided documents. The correct answer is that Scottie Scheffler won the 2023 U.S. Open.,0,0
298,openai/gpt-oss-20b,negative_rejection,What is the start date of Prime Day 2023?,I can not answer the question because of the insufficient information in documents.,1,1
299,openai/gpt-oss-20b,negative_rejection,Who was the MVP of Super Bowl 2022?,I can not answer the question because of the insufficient information in documents.,1,1
